category_type,total_products,best_selling_products,best_selling_ration
Others,511846,2652,0.52
Baby_Kids,179801,700,0.39
Mens_Fashion,141074,503,0.36
Gaming,82611,411,0.50
Electronics,77070,224,0.29
Automotive,62032,816,1.32
Home_Living,56697,1020,1.80
Jewelry_Accessories,54633,115,0.21
Toys_Games,44778,71,0.16
Crafts_Sewing,42375,126,0.30
Industrial_Science,30721,467,1.52
Arts_Crafts,29324,103,0.35
Sports_Outdoors,24515,898,3.66
Travel_Bags,23693,22,0.09
Tools_Hardware,18741,179,0.96
Health_Beauty,17736,166,0.94
Party_Gifts,15546,22,0.14
Pet_Supplies,13144,25,0.19
